Price_ID,Ticker_Symbol,Trade_Date,Volume
1,AAPL,2008-03-28,25547083.000
2,AAPL,2008-04-08,36258626.000
3,AAPL,2008-05-20,34637473.000
4,AAPL,2008-07-31,22768525.000
5,AAPL,2008-10-24,56776428.000
6,AAPL,2008-11-06,47129942.000
7,AAPL,2008-11-26,32160801.000
8,AAPL,2009-03-12,27457620.000
9,AAPL,2009-04-17,17774382.000
10,AAPL,2009-05-22,10645315.000
11,AAPL,2009-06-02,16293676.000
12,AAPL,2009-06-03,20185656.000
13,AAPL,2009-06-09,24177268.000
14,AAPL,2009-10-07,16630987.000
15,AAPL,2009-10-14,13420377.000
16,AAPL,2010-02-04,27058966.000
17,AAPL,2010-04-06,15964884.000
18,AAPL,2010-09-08,18805302.000
19,AAPL,2010-09-10,13848617.000
20,AAPL,2010-09-28,36965773.000
21,AAPL,2010-10-21,19694903.000
22,AAPL,2010-11-05,12901895.000
23,AAPL,2010-11-23,18551612.000
24,AAPL,2010-12-09,10505218.000
25,AAPL,2011-01-20,27313899.000
26,AAPL,2011-02-15,10149063.000
27,AAPL,2011-04-12,15232440.000
28,AAPL,2011-04-28,12899589.000
29,AAPL,2011-07-06,15879463.000
30,AAPL,2011-09-01,12275815.000
31,AAPL,2011-10-07,19129166.000
32,AAPL,2011-12-09,10612255.000
